SOC Code,nb_impacted_tasks,total_tasks,Title,aii,aioe
25-1125,0,25,"History Teachers, Postsecondary",0.0,1.43749
33-2021,0,30,Fire Inspectors and Investigators,0.0,0.062793
51-6042,0,19,Shoe Machine Operators and Tenders,0.0,-1.029855
53-7051,5,11,Industrial Truck and Tractor Operators,0.45454545454545453,-1.39869
27-1021,1,17,Commercial and Industrial Designers,0.058823529411764705,0.867039
43-2011,4,19,"Switchboard Operators, Including Answering Service",0.21052631578947367,0.9832644
49-3043,1,20,Rail Car Repairers,0.05,-1.448102
51-9192,3,11,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.2727272727272727,-1.141885
53-7021,2,11,Crane and Tower Operators,0.18181818181818182,-1.030619
19-2041,4,97,"Environmental Scientists and Specialists, Including Health",0.041237113402061855,1.014113
51-3021,0,12,Butchers and Meat Cutters,0.0,-0.9709924
53-7031,0,6,Dredge Operators,0.0,-1.016648
43-4031,1,27,"Court, Municipal, and License Clerks",0.037037037037037035,1.166267
31-2012,0,15,Occupational Therapy Aides,0.0,-0.7734322
17-3023,4,26,Electrical and Electronic Engineering Technologists and Technicians,0.15384615384615385,0.3515252
49-3011,4,38,Aircraft Mechanics and Service Technicians,0.10526315789473684,-0.6551197
13-1032,1,7,"Insurance Appraisers, Auto Damage",0.14285714285714285,0.6634955
39-3011,1,21,Gambling Dealers,0.047619047619047616,0.0605832
51-4051,0,15,Metal-Refining Furnace Operators and Tenders,0.0,-1.167465
51-8013,8,61,Power Plant Operators,0.13114754098360656,-0.3482779
25-1053,0,25,"Environmental Science Teachers, Postsecondary",0.0,1.347519
43-3021,1,25,Billing and Posting Clerks,0.04,1.333455
25-1051,0,26,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.0,1.306156
49-3092,0,17,Recreational Vehicle Service Technicians,0.0,-0.9244052
25-1112,0,23,"Law Teachers, Postsecondary",0.0,1.35645
29-1223,3,12,Psychiatrists,0.25,
51-9198,3,34,Helpers--Production Workers,0.08823529411764706,-1.411304
17-2171,5,23,Petroleum Engineers,0.21739130434782608,1.247779
13-2072,0,17,Loan Officers,0.0,1.385739
29-1081,0,11,Podiatrists,0.0,0.6279185
43-5061,2,17,"Production, Planning, and Expediting Clerks",0.11764705882352941,0.6999103
23-1022,0,20,"Arbitrators, Mediators, and Conciliators",0.0,1.431593
25-1192,0,23,"Family and Consumer Sciences Teachers, Postsecondary",0.0,1.211652
27-4011,5,29,Audio and Video Technicians,0.1724137931034483,-0.0117747
13-2053,0,7,Insurance Underwriters,0.0,1.326652
43-5051,1,21,Postal Service Clerks,0.047619047619047616,-0.5186997
25-1067,0,24,"Sociology Teachers, Postsecondary",0.0,1.349229
15-1242,4,14,Database Administrators,0.2857142857142857,
51-5111,4,25,Prepress Technicians and Workers,0.16,0.4107973
27-3092,2,14,Court Reporters and Simultaneous Captioners,0.14285714285714285,
49-3052,0,13,Motorcycle Mechanics,0.0,-0.763721
53-2022,2,27,Airfield Operations Specialists,0.07407407407407407,0.4845738
13-1031,3,26,"Claims Adjusters, Examiners, and Investigators",0.11538461538461539,1.274024
29-2092,3,11,Hearing Aid Specialists,0.2727272727272727,0.5648953
25-4011,1,13,Archivists,0.07692307692307693,0.6765602
