fips,aii_normalized,aii_scaled,state_name,state_abbr,long_name,sumlev,region,division,state,region_name,division_name
01,0.10934620215976457,0.424958596981564,Alabama,AL,Alabama AL,40.0,3.0,6.0,1.0,South,East South Central
02,0.1023219270562799,-0.8950582790310811,Alaska,AK,Alaska AK,40.0,4.0,9.0,2.0,West,Pacific
04,0.10755088399438917,0.08757854833683894,Arizona,AZ,Arizona AZ,40.0,4.0,8.0,4.0,West,Mountain
05,0.11028451374488174,0.6012881269423704,Arkansas,AR,Arkansas AR,40.0,3.0,7.0,5.0,South,West South Central
06,0.1125074591774246,1.0190288108111056,California,CA,California CA,40.0,4.0,9.0,6.0,West,Pacific
08,0.1024128101536404,-0.8779793320233481,Colorado,CO,Colorado CO,40.0,4.0,8.0,8.0,West,Mountain
09,0.11207753790521192,0.9382370812280721,Connecticut,CT,Connecticut CT,40.0,1.0,1.0,9.0,Northeast,New England
10,0.10189110736554395,-0.9760188413541439,Delaware,DE,Delaware DE,40.0,3.0,5.0,10.0,South,South Atlantic
12,0.10402028575015086,-0.5758990626842875,Florida,FL,Florida FL,40.0,3.0,5.0,12.0,South,South Atlantic
13,0.10578256545057602,-0.2447276733886587,Georgia,GA,Georgia GA,40.0,3.0,5.0,13.0,South,South Atlantic
15,0.09867212451796865,-1.5809370172220987,Hawaii,HI,Hawaii HI,40.0,4.0,9.0,15.0,West,Pacific
16,0.10451162947653322,-0.4835646934871152,Idaho,ID,Idaho ID,40.0,4.0,8.0,16.0,West,Mountain
17,0.11093556799053805,0.7236356402166834,Illinois,IL,Illinois IL,40.0,2.0,3.0,17.0,Midwest,East North Central
18,0.11251033060629534,1.0195684158965834,Indiana,IN,Indiana IN,40.0,2.0,3.0,18.0,Midwest,East North Central
19,0.10638835113051173,-0.13088712628861066,Iowa,IA,Iowa IA,40.0,2.0,4.0,19.0,Midwest,West North Central
20,0.10773564299081664,0.12229885608196683,Kansas,KS,Kansas KS,40.0,2.0,4.0,20.0,Midwest,West North Central
21,0.114520242464764,1.3972753726130696,Kentucky,KY,Kentucky KY,40.0,3.0,6.0,21.0,South,East South Central
22,0.1107724177737021,0.6929761007801168,Louisiana,LA,Louisiana LA,40.0,3.0,7.0,22.0,South,West South Central
23,0.10544687706669467,-0.30781095604439657,Maine,ME,Maine ME,40.0,1.0,1.0,23.0,Northeast,New England
24,0.1065360606418933,-0.10312923741057825,Maryland,MD,Maryland MD,40.0,3.0,5.0,24.0,South,South Atlantic
25,0.11317009744294321,1.1435532179976031,Massachusetts,MA,Massachusetts MA,40.0,1.0,1.0,25.0,Northeast,New England
26,0.11665221157998572,1.7979195913786907,Michigan,MI,Michigan MI,40.0,2.0,3.0,26.0,Midwest,East North Central
27,0.11051475144942279,0.6445548912719483,Minnesota,MN,Minnesota MN,40.0,2.0,4.0,27.0,Midwest,West North Central
28,0.10632770801942085,-0.14228331007619704,Mississippi,MS,Mississippi MS,40.0,3.0,6.0,28.0,South,East South Central
29,0.10907929550189999,0.37480092412410493,Missouri,MO,Missouri MO,40.0,2.0,4.0,29.0,Midwest,West North Central
30,0.09523085163918624,-2.227628413563325,Montana,MT,Montana MT,40.0,4.0,8.0,30.0,West,Mountain
31,0.10570449096674459,-0.2593995982101023,Nebraska,NE,Nebraska NE,40.0,2.0,4.0,31.0,Midwest,West North Central
32,0.09485957898588508,-2.297398768616246,Nevada,NV,Nevada NV,40.0,4.0,8.0,32.0,West,Mountain
33,0.11114579241330266,0.7631414656166079,New Hampshire,NH,New Hampshire NH,40.0,1.0,1.0,33.0,Northeast,New England
34,0.10887244950427225,0.33592997963777094,New Jersey,NJ,New Jersey NJ,40.0,1.0,2.0,34.0,Northeast,Middle Atlantic
35,0.1029061858998289,-0.785263101296412,New Mexico,NM,New Mexico NM,40.0,4.0,8.0,35.0,West,Mountain
36,0.11083819719821406,0.7053375116262134,New York,NY,New York NY,40.0,1.0,2.0,36.0,Northeast,Middle Atlantic
37,0.10565457085766122,-0.2687806924115154,North Carolina,NC,North Carolina NC,40.0,3.0,5.0,37.0,South,South Atlantic
38,0.09905954280605123,-1.508132539776273,North Dakota,ND,North Dakota ND,40.0,2.0,4.0,38.0,Midwest,West North Central
39,0.11350412454622735,1.2063243092326197,Ohio,OH,Ohio OH,40.0,2.0,3.0,39.0,Midwest,East North Central
40,0.10770809076158755,0.11712118194216403,Oklahoma,OK,Oklahoma OK,40.0,3.0,7.0,40.0,South,West South Central
41,0.11207034015466974,0.9368844644747364,Oregon,OR,Oregon OR,40.0,4.0,9.0,41.0,West,Pacific
42,0.1159841402422844,1.6723741895893163,Pennsylvania,PA,Pennsylvania PA,40.0,1.0,2.0,42.0,Northeast,Middle Atlantic
44,0.10780178686911936,0.13472875586781002,Rhode Island,RI,Rhode Island RI,40.0,1.0,1.0,44.0,Northeast,New England
45,0.10693070230787585,-0.02896732726325506,South Carolina,SC,South Carolina SC,40.0,3.0,5.0,45.0,South,South Atlantic
46,0.10353921813225005,-0.6663023234872782,South Dakota,SD,South Dakota SD,40.0,2.0,4.0,46.0,Midwest,West North Central
47,0.10850479502675622,0.26683955995560277,Tennessee,TN,Tennessee TN,40.0,3.0,6.0,47.0,South,East South Central
48,0.10707481511705853,-0.001885338393491486,Texas,TX,Texas TX,40.0,3.0,7.0,48.0,South,West South Central
49,0.10333213186631567,-0.7052184197102488,Utah,UT,Utah UT,40.0,4.0,8.0,49.0,West,Mountain
50,0.10243704970641422,-0.8734241831635645,Vermont,VT,Vermont VT,40.0,1.0,1.0,50.0,Northeast,New England
51,0.10146907284565146,-1.0553284754887204,Virginia,VA,Virginia VA,40.0,3.0,5.0,51.0,South,South Atlantic
53,0.113007360787036,1.1129713958197076,Washington,WA,Washington WA,40.0,4.0,9.0,53.0,West,Pacific
54,0.10755651323617804,0.08863640755376832,West Virginia,WV,West Virginia WV,40.0,3.0,5.0,54.0,South,South Atlantic
55,0.11744084165822893,1.946120650829763,Wisconsin,WI,Wisconsin WI,40.0,2.0,3.0,55.0,Midwest,East North Central
56,0.09519156192818018,-2.2350118205081824,Wyoming,WY,Wyoming WY,40.0,4.0,8.0,56.0,West,Mountain
11,0.10153442416062372,-1.0430475159075376,,,,,,,,,
