SOC Code,aii,total_tasks
    11-1021,0.0,1
    11-9013,0.0,1
    11-9051,0.0,2
    29-1249,0.0,2
    35-1012,0.0,1
    37-3011,0.0,1
    37-3019,0.0,1
    41-1011,0.0,1
    41-1012,0.0,1
    41-4010,1.0,1
    45-2099,0.0,1
    47-2061,0.0,1
    53-3053,0.0,1
    53-7061,0.0,2
11-1011,0.0,56
11-1012,0.0,2
11-1021,0.07017543859649122,57
11-1022,0.0,1
11-1031,0.0,23
11-2011,0.0,10
11-2021,0.0,10
11-2022,0.0,20
11-2030,0.07692307692307693,26
11-3012,0.16666666666666666,6
11-3013,0.1,10
11-3021,0.45454545454545453,22
11-3031,0.03508771929824561,57
11-3051,0.29411764705882354,17
11-3061,0.05,20
11-3071,0.2653061224489796,49
11-3111,0.0,10
11-3121,0.0,21
11-3131,0.36363636363636365,11
11-9013,0.034013605442176874,147
11-9021,0.029411764705882353,34
11-9030,0.014705882352941176,68
11-9033,0.0,4
11-9041,0.0,12
11-9051,0.0,22
11-9070,0.030303030303030304,33
11-9072,0.0,13
11-9081,0.0,33
11-9111,0.02666666666666667,75
11-9121,0.0,13
11-9131,0.0,9
11-9141,0.01818181818181818,55
11-9151,0.0,58
11-9161,0.0,7
11-9171,0.0,5
11-9179,0.0,26
11-9199,0.04950495049504951,101
13-1011,0.030303030303030304,33
13-1021,0.014492753623188406,69
13-1022,0.0,20
13-1023,0.0,28
13-1030,0.26666666666666666,45
13-1031,0.0,3
13-1041,0.14285714285714285,84
13-1051,0.5,10
13-1070,0.025,80
13-1071,0.0,1
13-1081,0.0,5
13-1082,0.5555555555555556,9
13-1111,0.09090909090909091,33
13-1121,0.15384615384615385,13
13-1131,0.0,5
13-1141,0.17391304347826086,23
13-1151,0.2,20
13-1161,0.14285714285714285,14
13-1199,0.0,35
13-2011,0.044444444444444446,45
13-2020,0.0,24
13-2031,0.0,7
13-2041,0.2857142857142857,7
13-2051,0.07142857142857142,14
13-2052,0.0,21
13-2053,0.0,8
13-2054,0.0,1
13-2061,0.0,7
13-2070,0.034482758620689655,29
13-2071,0.0,1
13-2072,0.0,2
13-2081,0.1282051282051282,39
13-2082,0.0,10
13-20XX,0.0,17
15-1211,0.37037037037037035,27
15-1212,0.5,22
15-1221,0.3333333333333333,6
15-1230,0.43333333333333335,30
15-1231,0.25,4
15-1232,0.0,2
15-1241,0.3333333333333333,9
15-1242,0.4,10
15-1243,0.25,8
15-1244,0.3142857142857143,35
15-124X,0.0,1
15-1251,0.2,25
15-1252,0.2564102564102564,39
15-1253,0.4444444444444444,9
15-1254,0.0,6
15-1255,0.0,5
15-1299,0.2391304347826087,46
15-2011,0.0,4
15-2021,0.14285714285714285,7
15-2031,0.3157894736842105,19
15-2041,0.08333333333333333,12
15-20XX,0.13333333333333333,15
17-1011,0.0625,16
17-1012,0.0,8
17-1020,0.2857142857142857,35
17-1021,0.6666666666666666,3
17-2011,0.16666666666666666,42
17-2021,0.16666666666666666,6
17-2031,0.2222222222222222,9
17-2041,0.16666666666666666,24
17-2051,0.18518518518518517,54
17-2061,0.2,10
17-2070,0.3333333333333333,54
17-2081,0.3888888888888889,18
17-2110,0.22727272727272727,44
17-2121,0.07142857142857142,14
17-2131,0.08695652173913043,23
17-2141,0.35714285714285715,42
17-2151,0.15,20
17-2161,0.4444444444444444,9
17-2171,0.2777777777777778,18
17-2199,0.3,30
17-3011,0.09090909090909091,11
17-3012,0.625,8
17-3013,0.16666666666666666,24
17-3019,0.0,11
17-3021,0.1111111111111111,9
17-3022,0.0,6
17-3023,0.1875,16
17-3024,0.5,8
17-3025,0.2222222222222222,9
17-3026,0.17857142857142858,28
17-3027,0.15,20
17-3028,0.75,4
17-3029,0.2923076923076923,65
17-302X,0.0,3
17-3031,0.25,48
19-1010,0.0,39
19-1020,0.01818181818181818,55
19-1030,0.06896551724137931,29
19-1040,0.0,24
19-1099,0.0,4
19-2010,0.09090909090909091,33
19-2021,0.1,20
19-2030,0.023255813953488372,43
19-2041,0.0,9
19-2042,0.03225806451612903,31
19-2043,0.0,4
19-2099,0.0,5
19-3011,0.0,17
19-3022,0.25,4
19-3032,0.0,5
19-3033,0.0,8
19-3034,0.0,9
19-3039,0.1111111111111111,18
19-3041,0.0,7
19-3051,0.0,8
19-3090,0.02702702702702703,37
19-4010,0.15384615384615385,52
19-4012,0.0,1
19-4013,0.6666666666666666,3
19-4021,0.17647058823529413,17
19-4031,0.13333333333333333,60
19-4040,0.14285714285714285,7
19-4042,0.0,8
19-4043,0.30303030303030304,66
19-4044,0.0,2
19-4051,0.5,6
19-4061,0.2,10
19-4071,0.07142857142857142,14
19-4092,0.21428571428571427,14
19-4099,0.3076923076923077,39
19-5010,0.6666666666666666,3
19-5011,0.2222222222222222,27
19-5012,0.14285714285714285,7
21-1011,0.037037037037037035,27
21-1012,0.025,40
21-1013,0.0,14
21-1014,0.0,10
21-1015,0.0,12
21-1019,0.0,14
21-1021,0.0,19
21-1022,0.0,26
21-1023,0.0,9
21-1029,0.0,26
21-1091,0.5,2
21-1092,0.0,15
21-1093,0.05,40
21-1094,0.0,2
21-109X,0.0,44
21-2011,0.0,29
21-2021,0.0,18
21-2099,0.0,57
23-1011,0.0,46
23-1012,0.0,5
23-1020,0.02857142857142857,35
23-1022,0.5,2
23-2011,0.0,9
23-2093,0.05263157894736842,19
23-2099,0.0,18
25-1011,0.0,19
25-1021,0.2857142857142857,7
25-1022,0.17647058823529413,17
25-1031,0.0,5
25-1032,0.07142857142857142,42
25-1041,0.06896551724137931,29
25-1042,0.07317073170731707,41
25-1043,0.0,7
25-1051,0.0,27
25-1052,0.0,12
25-1053,0.0,4
25-1054,0.0,17
25-1061,0.0,6
25-1062,0.0,6
25-1063,0.0,8
25-1064,0.0,4
25-1065,0.0,8
25-1066,0.07142857142857142,14
25-1067,0.0,3
25-1069,0.0,8
25-1070,0.0,1
25-1071,0.08888888888888889,90
25-1072,0.0,9
25-1081,0.3333333333333333,6
25-1082,0.0,4
25-1111,0.0,5
25-1112,0.0,4
25-1113,0.0,4
25-1121,0.034482758620689655,29
25-1122,0.0,6
25-1123,0.09090909090909091,11
25-1124,0.0,14
25-1125,0.0,7
25-1126,0.0,9
25-1192,0.0,10
25-1193,0.0,11
25-1194,0.075,80
25-1199,0.05,20
25-2010,0.0,10
25-2011,0.0,4
25-2020,0.04,25
25-2021,0.0,2
