SOC Code,Title,aii,aug,aii_p,aug_p
11-1011,Chief Executives,0.0,0.0,0,0
11-1021,General and Operations Managers,0.0588235294117647,0.07017543859649122,9,7
11-2011,Advertising and Promotions Managers,0.0,0.0,0,0
11-2021,Marketing Managers,0.0,0.0,0,0
11-2022,Sales Managers,0.0588235294117647,0.0,9,0
11-3012,Administrative Services Managers,0.0,0.16666666666666666,0,16
11-3021,Computer and Information Systems Managers,0.0,0.45454545454545453,0,45
11-3031,Financial Managers,0.0,0.03508771929824561,0,3
11-3051,Industrial Production Managers,0.0458715596330275,0.29411764705882354,7,29
11-3061,Purchasing Managers,0.0,0.05,0,4
11-3071,"Transportation, Storage, and Distribution Managers",0.1071428571428571,0.2653061224489796,16,26
11-3111,Compensation and Benefits Managers,0.0,0.0,0,0
11-3121,Human Resources Managers,0.0,0.0,0,0
11-3131,Training and Development Managers,0.0833333333333333,0.36363636363636365,13,36
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.05,0.034013605442176874,7,3
11-9021,Construction Managers,0.04,0.029411764705882353,6,2
11-9033,"Education Administrators, Postsecondary",0.0344827586206896,0.0,5,0
11-9041,Architectural and Engineering Managers,0.0,0.0,0,0
11-9051,Food Service Managers,0.0,0.0,0,0
11-9081,Lodging Managers,0.0,0.0,0,0
11-9111,Medical and Health Services Managers,0.1666666666666666,0.02666666666666667,26,2
11-9121,Natural Sciences Managers,0.0428571428571428,0.0,6,0
11-9131,Postmasters and Mail Superintendents,0.0,0.0,0,0
11-9141,"Property, Real Estate, and Community Association Managers",0.0,0.01818181818181818,0,1
11-9151,Social and Community Service Managers,0.0,0.0,0,0
11-9161,Emergency Management Directors,0.1739130434782608,0.0,27,0
11-9171,Funeral Home Managers,0.0,0.0,0,0
11-9179,Fitness and Wellness Coordinators,0.0909090909090909,0.0,14,0
11-9199,Regulatory Affairs Managers,0.036231884057971,0.04950495049504951,5,4
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.0,0.030303030303030304,0,3
13-1021,"Buyers and Purchasing Agents, Farm Products",0.1666666666666666,0.014492753623188406,26,1
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.05,0.0,7,0
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.0526315789473684,0.0,8,0
13-1031,"Claims Adjusters, Examiners, and Investigators",0.1153846153846153,0.0,18,0
13-1041,Compliance Officers,0.0273972602739726,0.14285714285714285,4,14
13-1051,Cost Estimators,0.0,0.5,0,49
13-1071,Human Resources Specialists,0.1153846153846153,0.0,18,0
13-1081,Logisticians,0.1566265060240964,0.0,24,0
13-1111,Management Analysts,0.0909090909090909,0.09090909090909091,14,9
13-1121,"Meeting, Convention, and Event Planners",0.0952380952380952,0.15384615384615385,14,15
13-1131,Fundraisers,0.0,0.0,0,0
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.0,0.17391304347826086,0,17
13-1151,Training and Development Specialists,0.05,0.2,7,19
13-1161,Market Research Analysts and Marketing Specialists,0.2448979591836734,0.14285714285714285,38,14
13-1199,Business Continuity Planners,0.144927536231884,0.0,22,0
13-2011,Accountants and Auditors,0.0769230769230769,0.044444444444444446,12,4
13-2031,Budget Analysts,0.0,0.0,0,0
13-2041,Credit Analysts,0.1818181818181818,0.2857142857142857,28,28
13-2052,Personal Financial Advisors,0.0,0.0,0,0
13-2053,Insurance Underwriters,0.0,0.0,0,0
13-2061,Financial Examiners,0.0,0.0,0,0
13-2071,Credit Counselors,0.0,0.0,0,0
13-2072,Loan Officers,0.0,0.0,0,0
