,State Abbreviation,population_2019,FIPS Code,Alt FIPS Code,State,P_1a_foreignBorn,P_1b_hateCrimes,P_2a_freedomIndex,P_3a_stateEqualityRanking,P_3b_verticalLegalRestriction ,P_3c_giniCoefficient,P_4a_empLawEnforcement,P_4b_cultural tightness ,P_4c_horizontalLegalRestriction,P_5a_republican,P_6a_politicsFriendsFamily,P_6b_politicsNeighbors,P_6c_politicsPost,P_6d_politicsMedia,P_6e_politicsVote,P_6f_politicsMeetings,P_6g_politicsOfficial,P_6h_politicsBoycott,P_6i_politicsGroup,P_6j_politicsDonate,E_1a_occupationArtistic,E_1b_occupationEnterprising,E_1c_occupationSocial,E_1d_occupationsConventional,E_1e_occupationsInvestigative,E_1f_occupationsRealistic,E_2a_gdp,E_3a_entrepreneursRates,E_3b_startUpSurvival,E_3c_opportunitySharesEntrepreneurs,E_3d_kauffmanIndex,E_3e_economicFreedomIndex,S_1a_lgbtqEquality,S_1b_lgbtqTravelIndex,S_2a_collectivism,S_3a_volunteersRatio,S_3b_volunteersHours,S_3c_neighborsFavours,S_3d_neighborhoodPositive,S_4a_donateNonPolitical,S_4b_nonProfit,S_4c_charitableContributions,S_5a_violentCrimes,S_6a_religiousVery,S_6b_religiousModerately,S_6c_religiousNon,S_6d_religiousAdherents,S_6e_religiousCongregations,S_7a_trustNeighbours,S_7b_trustGeneral,S_8a_educBachelor,S_9a_urbanPop,S_9b_fiveThirtyEightUrbanIndex,H_1a_wellBeing,H_2a_depression,SEIA Ranking 2017,Creativity Index ,population_2019_log,health,education,diversity,monetary,infrastructure,atmosphere,sustainability score,staff welfare (PC1),financial benefits (PC2),pca-one-rank,pca-two-rank,welfare premium,total reviews,total reviews_log,total_reviews_state_population_interaction,E_2a_gdp_log,P_3c_giniCoefficient_log,FIPS Code_log,Alt FIPS Code_log,P_1a_foreignBorn_log,P_1b_hateCrimes_log,P_2a_freedomIndex_log,P_3a_stateEqualityRanking_log,P_3b_verticalLegalRestriction _log,P_4a_empLawEnforcement_log,P_4b_cultural tightness _log,P_4c_horizontalLegalRestriction_log,P_5a_republican_log,P_6a_politicsFriendsFamily_log,P_6b_politicsNeighbors_log,P_6c_politicsPost_log,P_6d_politicsMedia_log,P_6e_politicsVote_log,P_6f_politicsMeetings_log,P_6g_politicsOfficial_log,P_6h_politicsBoycott_log,P_6i_politicsGroup_log,P_6j_politicsDonate_log,E_1a_occupationArtistic_log,E_1b_occupationEnterprising_log,E_1c_occupationSocial_log,E_1d_occupationsConventional_log,E_1e_occupationsInvestigative_log,E_1f_occupationsRealistic_log,E_3d_kauffmanIndex_log,E_3e_economicFreedomIndex_log,S_1a_lgbtqEquality_log,S_1b_lgbtqTravelIndex_log,S_2a_collectivism_log,S_3b_volunteersHours_log,S_3c_neighborsFavours_log,S_3d_neighborhoodPositive_log,S_4a_donateNonPolitical_log,S_4b_nonProfit_log,S_4c_charitableContributions_log,S_5a_violentCrimes_log,S_6a_religiousVery_log,S_6b_religiousModerately_log,S_6c_religiousNon_log,S_6d_religiousAdherents_log,S_6e_religiousCongregations_log,S_7a_trustNeighbours_log,S_7b_trustGeneral_log,S_8a_educBachelor_log,S_9a_urbanPop_log,S_9b_fiveThirtyEightUrbanIndex_log,H_1a_wellBeing_log,SEIA Ranking 2017_log,Creativity Index _log,population_2019_log_log,health_log,education_log,diversity_log,monetary_log,infrastructure_log,atmosphere_log,sustainability score_log,PCA1_log,PCA2_log,pca-one-rank_log,pca-two-rank_log,rank-diff_log,total reviews_log_log,total_reviews_state_population_interaction_log,E_2a_gdp_log_log,P_3c_giniCoefficient_log_log,S_9a_urbanPop_log scaled,P_3c_giniCoefficient_log scaled,E_2a_gdp_log scaled,Creativity Index _log scaled,sustainability score scaled,rank-diff scaled,PCA2 scaled,welfare x urban,financial x urban,welfare x financial,welfare premium x welfare,welfare premium x financial,welfare premium x urban
0,AL,4903185,1,1,Alabama,3.6,0,0.042288090037786,40.0,0.88,0.4741,16185,75.45,38.8,0.620316431668648,3.51027206992217,4.83198487323285,4.96273427579741,2.331917938314,0.528078283618974,0.083528404077207,0.082239483450121,0.096312736921616,0.212406292293002,0.060942550091735,0.00918,0.192225,0.010578,0.127208,0.029583,0.338399,41389.0,0.23%,81.50%,89.71%,0.47,0.065179658837949,-5.5,10.0,57.0,23.37%,17,4.387777636,0.152063614,0.470709493,3.3,6.2,510.8,54.0,29.0,17.0,63,5.5,61.3,30.0,25.5,59.0,9.605935,61.0,22.64%,29.0,75,15.405395551922352,0.06621200053705187,4.776266333504914,0.6157963474827212,6.434687952349001,0.6665230992492708,1.9339221120316854,-6.205632979446685,0.8527755186718444,0.0,64.0,55.0,51.1904761904762,2550,7.843848638152472,120.83759092014628,10.630770424025688,-0.7463370090740643,0.0,0.0,1.2809338454620642,-inf,-3.1632497919655935,3.6888794541139363,-0.12783337150988489,9.691840166360345,4.323470185213858,3.6584202466292277,-0.47752555748022874,1.2556935472721518,1.5752573300880544,1.6019568541276854,0.8466910784668545,-0.6385107418360848,-2.482568536380239,-2.4981197583003456,-2.3401547059788994,-1.5492543653215092,-2.7978236603576065,-4.690728074349738,-1.6490887180638925,-4.548978906338349,-2.061931736972041,-3.5205554069638354,-1.0835296063371773,-0.7550225842780328,-2.7306078397387825,,2.302585092994046,4.04305126783455,2.833213344056216,1.4788228656503604,-1.8834563325301705,-0.7535141629432694,1.1939224684724346,1.824549292051046,6.235978124158384,3.9889840465642745,3.367295829986474,2.833213344056216,4.143134726391533,1.7047480922384253,4.115779842942166,3.4011973816621555,3.2386784521643803,4.07753744390572,2.2623811366155335,4.110873864173311,3.367295829986474,4.31748811353631,2.734717808572109,-2.714893555473122,1.5636591395072084,-0.4848389748462532,1.8617033476188452,-0.40568048242564153,0.6595501232272001,,,,4.1588830833596715,4.007333185232471,,2.0597296116349764,4.794447420207085,2.3637526661175685,,46.957720779633405,-55.00784697401808,21.857093449798803,61.76169665611992,0.0,51.1904761904762,0.0,0.48678338587602604,0.48678338587602604,0.0,0.743384076027947,0.0,26.31394515933331
1,AK,731545,2,2,Alaska,8.0,11,0.152840548479839,28.0,0.63,0.4376,1979,38.43,28.5,0.528331432703808,3.40378715770977,4.88909613413384,4.94060817724378,2.15528444867477,0.586124274922619,0.156325676662621,0.153131864108947,0.154667877192629,0.298211670815639,0.080410601093496,0.009462,0.192034,0.021315,0.146886,0.039479,0.3575,74422.0,0.44%,81.78%,85.34%,4.11,-0.030164087868756,4.25,9.0,48.0,32.65%,31,4.43950432,0.253052692,0.471665822,5.6,3.5,867.1,28.0,25.0,47.0,34,7.4,64.2,,29.6,66.0,8.735964,64.0,16.90%,48.0,72,13.502914014980135,1.971179535416473,7.82011626595224,2.5602300368104998,12.427361366309437,2.021015750303686,5.34374709453707,-1.4008162581980468,28.77332241247555,48.667970954323,52.0,8.0,9.523809523809534,301,5.707110264748875,77.06261917891457,11.217506876035603,-0.8264500278743656,0.6931471805599453,0.6931471805599453,2.0794415416798357,2.3978952727983707,-1.8783600678215557,3.332204510175204,-0.4620354595965587,7.590346945602565,3.6488384045767526,3.349904087274605,-0.6380314787513781,1.224888681643938,1.5870074467563966,1.5974884364244566,0.7679227095898442,-0.5342234386426865,-1.8558137769750795,-1.8764558718538986,-1.866475188778139,-1.2099517398732917,-2.5206092570925267,-4.660471501773181,-1.6500828392984248,-3.8483442287649634,-1.9180985032710793,-3.2319863940182962,-1.0286199168480747,1.4134230285081433,,1.4469189829363254,2.1972245773362196,3.871201010907891,3.4339872044851463,1.4905427305723253,-1.3741575431648436,-0.7514845483872331,1.7227665977411035,1.252762968495368,6.765154310383115,3.332204510175204,3.2188758248682006,3.8501476017100584,3.5263605246161616,2.0014800002101243,4.162003210695915,,3.3877743613300146,4.189654742026425,2.1674482981149374,4.1588830833596715,3.871201010907891,4.276666119016055,2.6029055151129765,0.6786321125136396,2.0566994222155244,0.9400971125835728,2.519900603527924,0.7036002317130786,1.6759271099904243,,,1.043878584252759,3.9512437185814275,2.0794415416798357,,1.7417128123332075,4.3446183274461845,2.417475671841792,,59.44242483076971,-12.316693059568685,98.54006711828553,60.06306531487515,38.862232421537236,9.523809523809534,48.667970954323,20.791247256984462,20.791247256984462,1400.3392194297312,4.666487138518991,9.621566289878752,6.197221299124638
2,AZ,7278717,4,4,Arizona,13.4,209,0.231186923107961,39.0,0.75,0.4591,23087,47.56,19.6,0.490559810304647,3.74218870609457,5.31740525766257,5.27110265008203,2.34314143204194,0.437048063913026,0.085404048587788,0.076963094452602,0.16973143953443,0.2340383649421,0.064782404908697,0.010819,0.215103,0.016684,0.150802,0.042453,0.329498,44161.0,0.33%,77.85%,87.83%,0.97,0.1147067769767,5.25,20.0,49.0,23.28%,19,4.873879113,0.17080569,0.448537906,2.6,3.7,455.3,31.0,31.0,39.0,37,3.4,54.5,49.5,29.5,89.8,11.29971,63.4,17.88%,3.0,145,15.800465168377697,3.1667558825192064,7.958681365412631,1.8241265830718778,9.41406445299766,4.070271962954183,3.3385875334052404,-2.3101900330896115,33.03619470086032,27.515789934145896,46.0,28.0,40.476190476190474,11847,9.37982994995476,148.20567640956608,10.69559732562212,-0.7784872277269607,1.3862943611198906,1.3862943611198906,2.5952547069568657,5.342334251964811,-1.4645287047352715,3.6635616461296463,-0.2876820724517809,10.047024967532325,3.861992071822581,2.975529566236472,-0.7122080699902029,1.319670655787916,1.6709854508507966,1.6622395721820271,0.8514925213581104,-0.8277121038635737,-2.4603617719601583,-2.564429264849324,-1.7735378585247432,-1.4522702243192007,-2.736721241681407,-4.5264514312767,-1.5366382958043165,-4.093305102647438,-1.8917875608967594,-3.159357697343793,-1.1101849948607279,-0.030459207484708574,-2.1653761722269236,1.6582280766035324,2.995732273553991,3.8918202981106265,2.9444389791664403,1.58389015247442,-1.7672286843652303,-0.8017620837748487,0.9555114450274363,1.308332819650179,6.120956542340736,3.4339872044851463,3.4339872044851463,3.6635616461296463,3.6109179126442243,1.2237754316221157,3.9982007016691985,3.901972669574645,3.3843902633457743,4.497584975308154,2.424777061672162,4.14946386144318,1.0986122886681098,4.976733742420574,2.760039380636105,1.1527076829686398,2.0742633285220755,0.6011012878581353,2.24220478946047,1.4037098185867198,1.2055478233535952,,,-1.08906962770371,3.828641396489095,3.332204510175204,,2.23856163385111,4.998601014487216,2.3698321918978236,,93.73167274665172,-37.87542638311112,30.329584925485875,89.19336186409544,31.50705176675823,40.476190476190474,27.515789934145896,37.641801347923966,37.641801347923966,909.0169936124164,22.77083771333649,23.11923457323729,41.531324835888
3,AR,3017825,5,5,Arkansas,5.1,9,0.014951819454539,7.0,1.0,0.475,10877,75.03,32.9,0.623957298561443,3.08454548508823,4.43215738041795,4.55899748107189,1.96253758935646,0.376005838231485,0.097370585498499,0.086342289285901,0.118581422022738,0.250704581148994,0.064943123148972,0.007462,0.198778,0.011818,0.121715,0.025584,0.343863,39580.0,0.32%,78.02%,86.75%,0.6,0.03628232353545,-0.5,11.0,54.0,20.56%,21,3.913031275,0.164528081,0.455555763,3.6,5.5,584.6,50.0,30.0,19.0,55,5.9,47.2,,23.0,56.2,9.259444,60.8,23.20%,42.0,31,14.920046931207903,1.1540904544933812,6.314239519423509,0.4899994716362044,7.331892263472958,3.9074612350664415,2.1569982810227204,-4.582365139750251,17.53152374080041,5.775132056108978,59.0,54.0,55.952380952380956,1667,7.418780882750794,110.68855894298984,10.586079219156558,-0.7444404749474959,1.6094379124341003,1.6094379124341003,1.62924053973028,2.1972245773362196,-4.202922283905859,1.9459101490553132,0.0,9.294405747093851,4.3178880335576375,3.493472657771326,-0.47167334474683065,1.1264043158996406,1.4888864588366173,1.51710274871347,0.6742383243032035,-0.9781506085013922,-2.329231110879234,-2.449435774428681,-2.132155448678868,-1.3834800005544754,-2.7342434206247477,-4.8979318041831705,-1.6155666548672771,-4.438131486058654,-2.1060730326807535,-3.6657881228905387,-1.0675119567476008,-0.5108256237659907,-3.3164246112586766,,2.3978952727983707,3.9889840465642745,3.044522437723423,1.3643123357851414,-1.8046740181780063,-0.7862371482602073,1.2809338454620642,1.7047480922384253,6.370927852677146,3.912023005428146,3.4011973816621555,2.9444389791664403,4.007333185232471,1.7749523509116738,3.8543938925915096,,3.1354942159291497,4.028916756899646,2.225644003658879,4.107589788972121,3.7376696182833684,3.4339872044851463,2.7027057402939856,0.14331254845722421,1.8428073240731742,-0.7133509661715065,1.9922336358532644,1.3628878626159011,0.7687175704770404,,,,4.07753744390572,3.9889840465642745,,2.0040147421642507,4.706720482458237,2.3595398567968524,,41.54361521155021,-56.01848458964909,16.01621808837752,24.99861460269559,13.129285824724596,55.952380952380956,5.775132056108978,8.853560616388204,8.853560616388204,101.24686474793204,16.704273656115276,6.707679857487631,25.445597052393992
4,CA,39512223,6,6,California,26.7,1015,-0.405684707242441,29.0,0.5,0.4866,121251,27.37,50.1,0.343207236252849,3.66245839740441,5.09045216656562,5.26826849767884,2.50373940428622,0.422304521930738,0.094476673355591,0.074430130740634,0.138476831134074,0.219632945219791,0.082126776936936,0.017952,0.218393,0.019196,0.122726,0.050463,0.313537,70662.0,0.42%,81.33%,87.41%,5.04,-0.502944815168393,34.75,26.0,60.0,23.89%,17,4.78338613,0.170868097,0.418995565,3.3,3.3,441.2,29.0,30.0,41.0,45,3.9,49.7,40.9,33.9,95.0,12.19028,63.0,14.48%,1.0,184,17.492120625041704,4.788319426768115,8.40972563796556,2.1327120637830697,8.251856843267236,6.5296204139100205,5.214095417411567,-1.1294403460791191,52.70068386988848,15.062934547156242,25.0,48.0,89.28571428571428,70267,11.160057550803,195.21307286105355,11.165663225069604,-0.7203128486327148,1.791759469228055,1.791759469228055,3.2846635654062037,6.922643891475888,,3.367295829986474,-0.6931471805599453,11.705618056188401,3.309447523052588,3.914021008090819,-1.0694208269377845,1.2981346152082027,1.6273666609126987,1.6617017502509515,0.9177853760513307,-0.8620286092361107,-2.3594023177511168,-2.597894436053564,-1.977052251578824,-1.5157975568296618,-2.499491165432005,-4.020053749641852,-1.5214590869070916,-3.953053354986138,-2.0978010507721754,-2.9865148845043823,-1.1598379035447002,1.6174060820832772,,3.548179572010801,3.258096538021482,4.0943445622221,2.833213344056216,1.5651486911072683,-1.7668633827057618,-0.8698949438415549,1.1939224684724346,1.1939224684724346,6.089498287379348,3.367295829986474,3.4011973816621555,3.713572066704308,3.8066624897703196,1.3609765531356006,3.906004933102583,3.711130063048756,3.5234150143864045,4.553876891600541,2.5006389128766338,4.143134726391533,0.0,5.214935757608986,2.8617505295388854,1.5661794994988731,2.1293888501430214,0.7573944391830221,2.110438246932887,1.8763488120290754,1.6513656155762308,,,,3.2188758248682006,3.871201010907891,3.1354942159291497,2.4123411138218573,5.274091643360743,2.412843285683692,,100.0,-68.87577325533051,91.76440948139337,99.10511197091449,41.057170206309124,89.28571428571428,15.062934547156242,64.06344140926872,64.06344140926872,793.8269517225029,80.12860617832244,27.91794205659224,97.73987155587761
5,CO,5758736,8,8,Colorado,9.5,210,0.334138597752903,43.0,0.88,0.4548,18757,42.92,13.9,0.416041256349124,3.11692969196584,4.91751616624995,5.1718007150266,2.03811479512986,0.604291252564401,0.139167871675569,0.109431226929949,0.224332763891485,0.318516259696086,0.134821532989919,0.015357,0.230669,0.015995,0.121901,0.061804,0.320367,61311.0,0.30%,78.74%,85.41%,1.28,0.136689323442705,33.5,24.0,36.0,29.32%,33,4.414149045,0.245991009,0.620447662,4.5,3.1,381.0,30.0,27.0,43.0,38,5.3,68.2,40.4,40.9,86.2,11.15445,63.5,17.58%,11.0,161,15.566228564146174,2.3136954001446592,7.675247431504497,1.1253216495539238,8.43940786306713,3.7341544328720953,2.905641442772113,-3.2546231296051467,26.23889045857012,19.34524124678098,54.0,43.0,48.80952380952381,9419,9.150484204822817,142.43852860488133,11.023714551176646,-0.7878975171057561,2.0794415416798357,2.0794415416798357,2.2512917986064953,5.3471075307174685,-1.0961994087468645,3.7612001156935624,-0.12783337150988489,9.839322295060342,3.759337917762498,2.631888840136646,-0.876970849722118,1.1368484442157047,1.5928035587693081,1.6432209286565418,0.7120252605595757,-0.5036989910389343,-1.97207436465022,-2.2124589916074293,-1.4946247763825073,-1.144081754421836,-2.0038033529797525,-4.176183882838581,-1.466771496476803,-4.1354791055806555,-2.1045460390831123,-2.7837871916939654,-1.138288065347093,0.2468600779315258,-1.990044640404007,3.5115454388310208,3.1780538303479458,3.58351893845611,3.4965075614664802,1.4848150736894832,-1.402460292498185,-0.47731402600134254,1.5040773967762742,1.1314021114911006,5.942799375126701,3.4011973816621555,3.295836866004329,3.7612001156935624,3.6375861597263857,1.667706820558076,4.222444564849416,3.6988297849671046,3.711130063048756,4.456670177669648,2.4118385214246674,4.151039905898646,2.3978952727983707,5.081404364984463,2.7451037319798357,0.8388459866345495,2.038000531586115,0.11806890550630292,2.132912147742281,1.3175214028267141,1.0666541723917167,,,,3.9889840465642745,3.7612001156935624,,2.2138067964471633,4.9589105284269985,2.400048820537718,,89.17564840080159,-32.86080930506692,73.21255986454638,93.54877864576214,23.86830493567394,48.80952380952381,19.34524124678098,28.443678169776167,28.443678169776167,507.5976659688985,21.80918303005179,19.600653708668013,47.6475564326486
6,CT,3565287,9,9,Connecticut,14.8,76,-0.01800771427107,35.0,0.38,0.5024,8717,36.37,48.6,0.391871182883307,3.33304670475293,4.61027518778394,4.99685320511954,2.03176694516544,0.465448829678471,0.122391327695458,0.115983065586208,0.145515791311686,0.298550804973618,0.082413598255838,0.012469,0.227642,0.021009,0.136064,0.038965,0.307909,69789.0,0.19%,69.44%,75.10%,-7.57,-0.033073978633633,34.5,18.0,50.0,28.23%,28,4.462377028,0.223730853,0.495315145,4.9,2.3,183.6,29.0,29.0,42.0,51,5.7,61.9,,39.3,88.0,11.40968,61.7,16.98%,18.0,167,15.086755113499024,3.9928987698098495,10.249299521163138,3.2413588703321743,9.61262714574507,5.402112658525041,5.0806654625864045,-0.20714882250505331,50.837338857925396,32.7474270849898,26.0,20.0,54.761904761904766,4571,8.427487278331744,127.14343679031941,11.153231683208153,-0.6883586638281483,2.1972245773362196,2.1972245773362196,2.6946271807700692,4.330733340286331,,3.5553480614894135,-0.9675840262617056,9.073030421011577,3.5937442589988975,3.883623530906448,-0.9368221082910506,1.2038868120545856,1.5282875488894212,1.608808355328514,0.7089058307987235,-0.7647531138100138,-2.100531763575335,-2.1543110848586062,-1.9274706669078971,-1.2088151597153698,-2.496004828305556,-4.384509714967688,-1.479981059483665,-3.862804361640647,-1.994629915702709,-3.245091471686613,-1.1779509942093103,,,3.5409593240373143,2.8903717578961645,3.912023005428146,3.332204510175204,1.4956815899753628,-1.4973114986731237,-0.7025610624276035,1.589235205116581,0.8329091229351039,5.21275947818639,3.367295829986474,3.367295829986474,3.7376696182833684,3.9318256327243257,1.7404661748405046,4.12552017969055,,3.6712245188752153,4.477336814478207,2.434462117906642,4.122283930911342,2.8903717578961645,5.117993812416755,2.7138172141028867,1.384517475846333,2.327209363850456,1.1759926463022967,2.2630775618699097,1.686790110118723,1.6254422495832157,,,-0.045234583092987043,3.258096538021482,2.995732273553991,,2.1314986585825775,4.845315872685464,2.411729292970509,,91.47696005040444,-85.90373003602522,90.13968070588483,95.07129078407726,48.516831964278246,54.761904761904766,32.7474270849898,56.531244517314526,56.531244517314526,1664.7920474448306,47.407899619077085,37.22610214626117,54.83780413064524
7,DE,973764,10,10,Delaware,10.0,22,-0.11676677803647,19.0,0.75,0.4509,3407,51.02,25.2,0.397748767711055,3.46059653469452,4.90713523885342,5.09376662511849,1.79024479860378,0.508747443638855,0.096864115943508,0.10137670333708,0.157987265079501,0.303344611317789,0.071175053710763,0.009415,0.212862,0.01551,0.147981,0.048607,0.320841,64985.0,0.25%,78.77%,89.00%,-0.21,-0.140709271580908,25.25,18.0,55.0,25.92%,22,4.244525273,0.259726624,0.519148947,5.7,3.4,422.6,35.0,31.0,34.0,42,6.7,54.1,,32.0,83.3,11.00999,61.4,17.90%,30.0,138,13.788924253470674,9.003096959773437,12.461271951121285,4.465558350643388,13.15556185889395,8.342512271974684,10.098513889530928,4.703562700652605,96.36658586088936,59.43402790573771,11.0,7.0,57.14285714285714,2068,7.63433723562832,105.2692978675296,11.081911753015689,-0.7965096935550985,2.302585092994046,2.302585092994046,2.302585092994046,3.091042453358316,,2.9444389791664403,-0.2876820724517809,8.133587417660966,3.9322177127136655,3.2268439945173775,-0.9219347099184932,1.24144098308018,1.5906903171219984,1.6280175618286523,0.5823523694985296,-0.675803567026448,-2.3344461491714195,-2.288911964349074,-1.845240849966238,-1.1928857886619813,-2.6426128911887035,-4.6654511168730215,-1.5471112105663438,-4.1662703017936895,-1.9106713918376097,-3.0239877255256236,-1.1368096056699186,,,3.228826155721369,2.8903717578961645,4.007333185232471,3.091042453358316,1.4456299814719507,-1.34812564727774,-0.6555644485502469,1.7404661748405046,1.2237754316221157,6.046426105181957,3.5553480614894135,3.4339872044851463,3.5263605246161616,3.7376696182833684,1.9021075263969205,3.9908341858524357,,3.4657359027997265,4.422448549172797,2.3988030424689626,4.117409835153096,3.4011973816621555,4.927253685157205,2.623865679586896,2.1975686247866,2.5226255909037345,1.496394257046329,2.576844624252469,2.1213644026611513,2.3123882733707104,1.5483202429783307,1.8482348697707842,1.414526607246063,2.3978952727983707,1.9459101490553132,,2.032656128829164,4.65652180841606,2.4053142073215636,,85.36493487940425,-28.271495909528156,80.81858891032229,87.13446256184692,88.23556082319708,57.14285714285714,59.43402790573771,100.0,100.0,5727.454353236767,93.7729943847946,70.49997295834619,53.3987697311285
8,FL,21477737,12,12,Florida,21.1,111,0.48050119863189,10.0,1.0,0.4808,74949,49.28,36.4,0.51219819622504,3.70978787696212,4.96667617165694,5.12763237216111,2.50507179065322,0.447733085293278,0.083054750055628,0.071617412816979,0.09373392583638,0.197889243454884,0.074703481551831,0.011651,0.228515,0.012983,0.147199,0.031838,0.322987,44267.0,0.47%,77.94%,88.27%,4.98,0.355772556145921,10.25,21.0,54.0,19.11%,16,4.568512143,0.167866141,0.387221435,2.9,4.3,378.4,35.0,32.0,33.0,39,3.8,46.6,32.3,29.9,91.2,11.46484,63.1,15.92%,12.0,131,16.88252746823733,2.1947817292658156,7.320292539781299,1.1957849050477403,9.210504593114333,3.537226850814933,3.3788489178939716,-3.067481079575218,26.0022090329712,23.32213148918322,55.0,35.0,38.0952380952381,24113,10.090506393131704,170.3532513504704,10.697994757448491,-0.7323038957611392,2.4849066497880004,2.4849066497880004,3.0492730404820207,4.709530201312334,-0.7329255560236213,2.302585092994046,0.0,11.224563161213583,3.8975183192252643,3.594568774642695,-0.6690436268452481,1.310974698963741,1.6027508380379034,1.6346440267523015,0.9183173930695696,-0.8035580158776633,-2.488255249427431,-2.636417038814971,-2.3672950865774562,-1.6200477812874834,-2.5942285808098853,-4.452363265744333,-1.476153425288227,-4.344114469604021,-1.915969866188698,-3.447094734049193,-1.1301432042474586,1.6054298910365616,-1.0334636395360803,2.327277705584417,3.044522437723423,3.9889840465642745,2.772588722239781,1.5191875814370268,-1.7845883969384921,-0.948758566124364,1.0647107369924282,1.4586150226995167,5.935951837177723,3.5553480614894135,3.4657359027997265,3.4965075614664802,3.6635616461296463,1.33500106673234,3.8416005411316,3.475067230228611,3.3978584803966405,4.513054897080286,2.4392849606956983,4.144720769547168,2.4849066497880004,4.875197323201151,2.8262792094898117,0.7860826016126374,1.9906502916256599,0.17880279407652963,2.22034463629242,1.2633430446707665,1.2175350946561758,,,,4.007333185232471,3.5553480614894135,,2.3115950207307105,5.137874230220523,2.3700563180592553,,95.45430964797417,-62.48590496399788,30.642915043264907,84.96836144481641,25.381943907987548,38.0952380952381,23.32213148918322,30.17170134416326,30.17170134416326,606.4269380761821,16.868260437360146,18.442966061194507,39.80668571497799
9,GA,10617423,13,13,Georgia,10.3,102,0.183736591252394,12.0,1.0,0.4795,29313,60.26,51.5,0.492374738997912,3.59791305362708,5.01643418799346,5.24775865439511,2.44080304762738,0.470122111786714,0.100539972755174,0.088433217237888,0.122752454100802,0.210934037978631,0.069434794475416,0.014103,0.231567,0.011014,0.129528,0.042519,0.304951,50816.0,0.41%,75.58%,88.43%,2.62,0.151748814127721,0.0,21.0,60.0,23.00%,17,4.735032457,0.175795121,0.46018474,3.1,5.4,340.7,44.0,33.0,23.0,51,4.4,46.5,37.7,31.3,75.1,10.55233,62.3,17.32%,9.0,129,16.178006888965257,2.4521694951705792,8.56581305510884,1.972263825102677,8.992747399031567,5.50749884208575,4.358834695407341,-1.789877488929217,39.02315724392293,20.881621659413668,39.0,40.0,63.095238095238095,17930,9.794230566599179,158.4511295785556,10.835966544606807,-0.7350113846586441,2.5649493574615367,2.5649493574615367,2.33214389523559,4.624972813284271,-1.6942521163279207,2.4849066497880004,0.0,10.285786382612454,4.098668533702155,3.9415818076696905,-0.7085151877792258,1.2803539700409943,1.6127193601892233,1.6578010624736144,0.8923271030377751,-0.7547628057112493,-2.297199891702686,-2.425507619309284,-2.0975855198328,-1.5562098105957247,-2.6673671757917377,-4.261367738272034,-1.4628860304821727,-4.508588088141847,-2.0438582049976857,-3.157804244129259,-1.1876041710189456,0.9631743177730056,-1.8855286637174065,-inf,3.044522437723423,4.0943445622221,2.833213344056216,1.5549885813135977,-1.7384360472447409,-0.7761272614265312,1.1314021114911006,1.6863989535702288,5.831002324666921,3.784189633918261,3.4965075614664802,3.1354942159291497,3.9318256327243257,1.4816045409242156,3.8394523125933104,3.629660094453965,3.4436180975461075,4.318820558770089,2.356346688618193,4.131961425793407,2.1972245773362196,4.859812404361672,2.783652720418717,0.8969731409584059,2.147779054895825,0.67918203278098,2.19641840791691,1.7061105894511706,1.472204749941934,,,,3.6635616461296463,3.6888794541139363,0.0,2.281793494620259,5.0654462150389765,2.3828708367879243,,73.82554877861782,-61.04312042066205,48.67500915538656,84.32818436306508,35.71543435366944,63.095238095238095,20.881621659413668,35.02056123275784,35.02056123275784,814.8668055234065,41.92840556850062,27.34970470341132,50.990944229827605
