State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Alabama,12/1/2023,4060,2324,57.2,0.0,2264,59,-19.9,2.6,117,18.2,-58,0.51,54,2.5,83,3.8
Alaska,12/1/2023,550,358,65.1,0.4,342,16,-16.1,4.5,27,17.4,-11,0.60,11,3.4,20,6.1
Arizona,12/1/2023,6019,3738,62.1,0.2,3577,161,-4.2,4.3,191,24.8,-30,0.84,87,2.7,117,3.7
Arkansas,12/1/2023,2416,1392,57.6,-0.3,1344,48,-0.6,3.4,77,20.3,-29,0.62,33,2.4,52,3.8
California,12/1/2023,31111,19357,62.2,-0.8,18374,983,14.2,5.1,775,-4.1,208,1.27,289,1.6,433,2.4
Colorado,12/1/2023,4752,3249,68.4,-0.4,3140,110,10.7,3.4,232,84.1,-122,0.47,74,2.5,127,4.4
Connecticut,12/1/2023,2964,1900,64.1,-2.4,1828,72,-3.7,3.8,85,26.9,-13,0.85,30,1.8,53,3.1
Delaware,12/1/2023,844,511,60.6,-0.3,489,22,23.8,4.2,28,27.3,-6,0.78,13,2.7,23,4.7
District of Columbia,12/1/2023,557,400,71.9,0.7,380,20,-9.9,5.1,37,23.3,-17,0.55,14,1.8,24,3.1
Florida,12/1/2023,18767,11194,59.6,0.2,10860,334,8.4,3.0,524,21.3,-190,0.64,275,2.8,398,4.0
Georgia,12/1/2023,8710,5363,61.6,-1.3,5181,183,-2.9,3.4,297,25.3,-114,0.61,118,2.4,226,4.6
Hawaii,12/1/2023,1123,675,60.1,-1.1,655,20,32.0,2.9,30,0.0,-10,0.66,12,1.9,17,2.7
Idaho,12/1/2023,1562,976,62.4,-1.6,943,33,29.9,3.3,54,38.5,-21,0.60,28,3.2,35,4.1
Illinois,12/1/2023,9994,6466,64.7,0.4,6156,310,23.9,4.8,391,51.0,-81,0.79,133,2.2,222,3.6
Indiana,12/1/2023,5414,3420,63.2,-1.1,3296,124,7.8,3.6,165,5.1,-41,0.75,87,2.6,119,3.6
Iowa,12/1/2023,2540,1721,67.7,-1.5,1665,56,23.4,3.2,88,14.3,-32,0.63,40,2.5,54,3.4
Kansas,12/1/2023,2284,1517,66.4,-0.7,1474,43,-12.6,2.8,86,26.5,-43,0.50,37,2.5,51,3.5
Kentucky,12/1/2023,3566,2033,57.0,-1.6,1945,88,2.7,4.3,112,15.5,-24,0.78,52,2.6,74,3.6
Louisiana,12/1/2023,3546,2088,58.9,0.6,2010,78,-20.8,3.7,112,23.1,-34,0.69,51,2.6,83,4.2
Maine,12/1/2023,1171,691,59.0,-2.8,670,22,-2.4,3.2,44,41.9,-22,0.50,18,2.7,23,3.5
Maryland,12/1/2023,4904,3197,65.2,-4.1,3135,62,-47.0,1.9,172,4.9,-110,0.36,56,2.0,111,4.0
Massachusetts,12/1/2023,5771,3743,64.9,-1.2,3623,120,12.8,3.2,226,37.0,-106,0.53,54,1.4,103,2.7
Michigan,12/1/2023,8109,5045,62.2,0.9,4829,216,15.5,4.3,252,17.2,-36,0.86,105,2.4,148,3.3
Minnesota,12/1/2023,4552,3100,68.1,-1.8,3009,91,-17.1,2.9,209,52.6,-118,0.44,75,2.5,111,3.7
Mississippi,12/1/2023,2288,1230,53.8,-2.2,1190,40,-45.4,3.3,71,36.5,-31,0.57,32,2.7,50,4.3
Missouri,12/1/2023,4926,3120,63.3,-0.6,3018,102,-2.1,3.3,173,40.7,-71,0.59,70,2.3,98,3.3
Montana,12/1/2023,929,582,62.7,-1.0,563,19,-4.1,3.2,36,28.6,-17,0.51,18,3.4,23,4.4
Nebraska,12/1/2023,1535,1058,68.9,-1.2,1033,25,-22.4,2.3,61,22.0,-36,0.40,26,2.5,37,3.5
Nevada,12/1/2023,2594,1623,62.5,-1.7,1535,87,27.7,5.4,91,24.7,-4,0.96,39,2.5,54,3.4
New Hampshire,12/1/2023,1176,762,64.8,-3.7,743,19,-6.6,2.5,38,11.8,-19,0.50,15,2.1,27,3.8
New Jersey,12/1/2023,7453,4841,64.9,0.6,4609,232,20.5,4.8,219,11.2,13,1.06,74,1.7,161,3.7
New Mexico,12/1/2023,1691,969,57.3,-0.7,931,38,-23.8,4.0,60,25.0,-22,0.64,22,2.5,31,3.5
New York,12/1/2023,15865,9780,61.6,0.8,9344,436,7.2,4.5,454,6.1,-18,0.96,163,1.7,286,2.9
North Carolina,12/1/2023,8685,5279,60.8,-0.5,5094,185,-2.8,3.5,283,21.5,-98,0.65,91,1.8,163,3.3
North Dakota,12/1/2023,603,417,69.1,0.0,409,8,-13.5,1.9,29,20.8,-21,0.27,13,3.0,18,4.1
Ohio,12/1/2023,9373,5806,61.9,-1.6,5591,214,-20.6,3.7,328,28.1,-114,0.65,132,2.3,181,3.2
Oklahoma,12/1/2023,3150,1974,62.7,2.0,1906,68,17.4,3.4,103,25.6,-35,0.66,43,2.5,72,4.1
Oregon,12/1/2023,3476,2152,61.9,0.9,2072,80,7.6,3.7,108,0.0,-28,0.75,52,2.6,63,3.2
Pennsylvania,12/1/2023,10505,6528,62.1,-0.8,6303,226,-26.8,3.5,380,34.8,-154,0.59,117,1.9,196,3.2
