FIPS Code,Alt FIPS Code,State,State Abbreviation,P_1a_foreignBorn,P_1b_hateCrimes,P_2a_freedomIndex,P_3a_stateEqualityRanking,P_3b_verticalLegalRestriction ,P_3c_giniCoefficient,P_4a_empLawEnforcement,P_4b_cultural_tightness ,P_4c_horizontalLegalRestriction,P_5a_republican,P_6a_politicsFriendsFamily,P_6b_politicsNeighbors,P_6c_politicsPost,P_6d_politicsMedia,P_6e_politicsVote,P_6f_politicsMeetings,P_6g_politicsOfficial,P_6h_politicsBoycott,P_6i_politicsGroup,P_6j_politicsDonate,E_1a_occupationArtistic,E_1b_occupationEnterprising,E_1c_occupationSocial,E_1d_occupationsConventional,E_1e_occupationsInvestigative,E_1f_occupationsRealistic,E_2a_gdp,E_3a_entrepreneursRates,E_3b_startUpSurvival,E_3c_opportunitySharesEntrepreneurs,E_3d_kauffmanIndex,E_3e_economicFreedomIndex,S_1a_lgbtqEquality,S_1b_lgbtqTravelIndex,S_2a_collectivism,S_3a_volunteersRatio,S_3b_volunteersHours,S_3c_neighborsFavours,S_3d_neighborhoodPositive,S_4a_donateNonPolitical,S_4b_nonProfit,S_4c_charitableContributions,S_5a_violentCrimes,S_6a_religiousVery,S_6b_religiousModerately,S_6c_religiousNon,S_6d_religiousAdherents,S_6e_religiousCongregations,S_7a_trustNeighbours,S_7b_trustGeneral,S_8a_educBachelor,S_9a_urbanPop,S_9b_fiveThirtyEightUrbanIndex,H_1a_wellBeing,H_2a_depression
1,1,Alabama,AL,3.6,0,0.04228809,40,0.88,0.4741,16185,75.45,38.8,0.620316432,3.51027207,4.831984873,4.962734276,2.331917938,0.528078284,0.083528404,0.082239483,0.096312737,0.212406292,0.06094255,0.00918,0.192225,0.010578,0.127208,0.029583,0.338399,41389,0.00,0.82,0.90,0.47,0.065179659,-5.5,10,57,0.23,17,4.387777636,0.152063614,0.470709493,3.3,6.2,510.8,54,29,17,63,5.5,61.3,30,25.5,59,9.605935,61,0.23
2,2,Alaska,AK,8,11,0.152840548,28,0.63,0.4376,1979,38.43,28.5,0.528331433,3.403787158,4.889096134,4.940608177,2.155284449,0.586124275,0.156325677,0.153131864,0.154667877,0.298211671,0.080410601,0.009462,0.192034,0.021315,0.146886,0.039479,0.3575,74422,0.00,0.82,0.85,4.11,-0.030164088,4.25,9,48,0.33,31,4.43950432,0.253052692,0.471665822,5.6,3.5,867.1,28,25,47,34,7.4,64.2,,29.6,66,8.735964,64,0.17
4,4,Arizona,AZ,13.4,209,0.231186923,39,0.75,0.4591,23087,47.56,19.6,0.49055981,3.742188706,5.317405258,5.27110265,2.343141432,0.437048064,0.085404049,0.076963094,0.16973144,0.234038365,0.064782405,0.010819,0.215103,0.016684,0.150802,0.042453,0.329498,44161,0.00,0.78,0.88,0.97,0.114706777,5.25,20,49,0.23,19,4.873879113,0.17080569,0.448537906,2.6,3.7,455.3,31,31,39,37,3.4,54.5,49.5,29.5,89.8,11.29971,63.4,0.18
5,5,Arkansas,AR,5.1,9,0.014951819,7,1,0.475,10877,75.03,32.9,0.623957299,3.084545485,4.43215738,4.558997481,1.962537589,0.376005838,0.097370585,0.086342289,0.118581422,0.250704581,0.064943123,0.007462,0.198778,0.011818,0.121715,0.025584,0.343863,39580,0.00,0.78,0.87,0.6,0.036282324,-0.5,11,54,0.21,21,3.913031275,0.164528081,0.455555763,3.6,5.5,584.6,50,30,19,55,5.9,47.2,,23,56.2,9.259444,60.8,0.23
6,6,California,CA,26.7,1015,-0.405684707,29,0.5,0.4866,121251,27.37,50.1,0.343207236,3.662458397,5.090452167,5.268268498,2.503739404,0.422304522,0.094476673,0.074430131,0.138476831,0.219632945,0.082126777,0.017952,0.218393,0.019196,0.122726,0.050463,0.313537,70662,0.00,0.81,0.87,5.04,-0.502944815,34.75,26,60,0.24,17,4.78338613,0.170868097,0.418995565,3.3,3.3,441.2,29,30,41,45,3.9,49.7,40.9,33.9,95,12.19028,63,0.14
8,8,Colorado,CO,9.5,210,0.334138598,43,0.88,0.4548,18757,42.92,13.9,0.416041256,3.116929692,4.917516166,5.171800715,2.038114795,0.604291253,0.139167872,0.109431227,0.224332764,0.31851626,0.134821533,0.015357,0.230669,0.015995,0.121901,0.061804,0.320367,61311,0.00,0.79,0.85,1.28,0.136689323,33.5,24,36,0.29,33,4.414149045,0.245991009,0.620447662,4.5,3.1,381,30,27,43,38,5.3,68.2,40.4,40.9,86.2,11.15445,63.5,0.18
9,9,Connecticut,CT,14.8,76,-0.018007714,35,0.38,0.5024,8717,36.37,48.6,0.391871183,3.333046705,4.610275188,4.996853205,2.031766945,0.46544883,0.122391328,0.115983066,0.145515791,0.298550805,0.082413598,0.012469,0.227642,0.021009,0.136064,0.038965,0.307909,69789,0.00,0.69,0.75,-7.57,-0.033073979,34.5,18,50,0.28,28,4.462377028,0.223730853,0.495315145,4.9,2.3,183.6,29,29,42,51,5.7,61.9,,39.3,88,11.40968,61.7,0.17
10,10,Delaware,DE,10,22,-0.116766778,19,0.75,0.4509,3407,51.02,25.2,0.397748768,3.460596535,4.907135239,5.093766625,1.790244799,0.508747444,0.096864116,0.101376703,0.157987265,0.303344611,0.071175054,0.009415,0.212862,0.01551,0.147981,0.048607,0.320841,64985,0.00,0.79,0.89,-0.21,-0.140709272,25.25,18,55,0.26,22,4.244525273,0.259726624,0.519148947,5.7,3.4,422.6,35,31,34,42,6.7,54.1,,32,83.3,11.00999,61.4,0.18
11,11,District of Columbia,DC,12.1,222,,,,0.5115,5019,,100,0.053973214,2.684166325,4.670222599,5.162725608,1.716976674,0.59212455,0.14031079,0.168162958,0.277901559,0.355090209,0.175659363,0.0571,0.328895,0.015816,0.100983,0.100504,0.167208,,0.00,0.77,0.71,-1.59,,34.5,NA,NA,0.31,23,4.739706869,0.310244569,0.499007552,18.1,5.8,1049,NA,NA,NA,55,19.1,44.6,,NA,100,13.44057,NA,NA
12,12,Florida,FL,21.1,111,0.480501199,10,1,0.4808,74949,49.28,36.4,0.512198196,3.709787877,4.966676172,5.127632372,2.505071791,0.447733085,0.08305475,0.071617413,0.093733926,0.197889243,0.074703482,0.011651,0.228515,0.012983,0.147199,0.031838,0.322987,44267,0.00,0.78,0.88,4.98,0.355772556,10.25,21,54,0.19,16,4.568512143,0.167866141,0.387221435,2.9,4.3,378.4,35,32,33,39,3.8,46.6,32.3,29.9,91.2,11.46484,63.1,0.16
