O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Write-in Total	Date	Domain Source
11-3051.02	Conduct employee safety training.	New	n/a	n/a	9	07/2011	Incumbent
11-3051.06	Train employees in power plant operations.	New	n/a	n/a	5	07/2016	Incumbent
11-9071.00	Monitor the performance of the gaming floor, relocating games and installing new games as necessary.	New	n/a	n/a	6	07/2014	Incumbent
11-9171.00	Deliver death certificates to medical facilities or offices to obtain signatures from legally authorized persons.	New	n/a	n/a	6	07/2014	Incumbent
11-9179.01	Evaluate fitness and wellness programs to determine their effectiveness.	New	n/a	n/a	6	07/2015	Occupational Expert
13-1032.00	Contact vendors to locate replacement parts for vehicles.	New	n/a	n/a	5	07/2016	Incumbent
13-1032.00	Discuss insurance claims with customers or damage claimants.	New	n/a	n/a	13	07/2016	Incumbent
13-1032.00	Review repair cost estimates and negotiate with automobile repair shops to secure agreement on cost of repairs.	Revision	7247	Review repair cost estimates with automobile repair shop to secure agreement on cost of repairs.	5	07/2016	Incumbent
13-1041.03	Develop guidelines for nondiscriminatory employment practices, such as affirmative action plans and equal opportunity employment policies.	Revision	20722	Develop guidelines for nondiscriminatory employment practices.	13	07/2015	Incumbent
13-1041.03	Train employees on equal opportunity laws, guidelines, or policies, such as discrimination, diversity, harassment, or affirmative action.	New	n/a	n/a	13	07/2015	Incumbent
13-1041.07	Develop regulatory strategies for products.	New	n/a	n/a	4	08/2019	Occupational Expert
13-1121.00	Contact potential clients, meet with professional and trade associations, and produce brochures and other publications to promote conference, convention, and trade show services.	Revision	1228	Promote conference, convention and trades show services by performing tasks such as meeting with professional and trade associations, and producing brochures and other publications.	8	07/2016	Incumbent
13-1121.00	Plan and develop programs, agendas, budgets, menus, and services according to customer requirements.	Revision	1213	Plan and develop programs, agendas, budgets, and services according to customer requirements.	7	07/2016	Incumbent
13-1141.00	Develop and administer compensation programs such as merit or incentive pay.	New	n/a	n/a	11	07/2017	Occupational Expert
13-1199.05	Deliver sustainability training to employees.	New	n/a	n/a	6	08/2020	Occupational Expert
13-2053.00	Answer agents' questions about insurance coverage.	New	n/a	n/a	7	08/2018	Occupational Expert
15-2021.00	Mentor others on mathematical techniques.	New	n/a	n/a	6	08/2021	Occupational Expert
15-2031.00	Review research literature.	New	n/a	n/a	4	07/2017	Occupational Expert
17-1011.00	Inspect the condition of structures.	New	n/a	n/a	4	08/2021	Occupational Expert
17-1021.00	Estimate resources, such as production hours, required for projects.	New	n/a	n/a	5	08/2018	Incumbent
17-2011.00	Develop software for aerospace systems.	New	n/a	n/a	6	07/2015	Incumbent
17-2041.00	Develop computer models of chemical processes.	New	n/a	n/a	4	07/2017	Occupational Expert
17-2071.00	Develop software to control electrical systems.	New	n/a	n/a	9	07/2015	Incumbent
17-2081.00	Attend professional conferences to share information.	New	n/a	n/a	4	08/2020	Occupational Expert
17-2111.02	Review building plans to verify compliance with fire code.	New	n/a	n/a	4	08/2021	Occupational Expert
17-2199.10	Analyze meteorological data.	New	n/a	n/a	7	07/2012	Incumbent
17-2199.10	Design electrical interconnections.	New	n/a	n/a	5	07/2012	Incumbent
17-2199.10	Design wind turbine components.	New	n/a	n/a	7	07/2012	Incumbent
17-2199.10	Estimate energy production by analyzing wind data.	New	n/a	n/a	15	07/2012	Incumbent
17-3013.00	Create bills of materials.	New	n/a	n/a	5	07/2017	Incumbent
19-1021.00	Analyze biochemical or biophysical data.	New	n/a	n/a	5	08/2020	Occupational Expert
19-1023.00	Conduct literature reviews.	New	n/a	n/a	5	08/2018	Incumbent
19-1023.00	Develop or make recommendations on management systems and plans for wildlife populations and habitat, consulting with stakeholders and the public at large to explore options.	Revision	1495	Make recommendations on management systems and planning for wildlife populations and habitat, consulting with stakeholders and the public at large to explore options.	13	08/2018	Incumbent
19-1031.02	Apply herbicide to eliminate harmful plants.	New	n/a	n/a	7	08/2020	Incumbent
