O*NET-SOC Code	Related O*NET-SOC Code	Relatedness Tier	Index
11-1011.00	11-1021.00	Primary-Short	1
11-1011.00	11-9151.00	Primary-Short	2
11-1011.00	11-3031.01	Primary-Short	3
11-1011.00	11-3121.00	Primary-Short	4
11-1011.00	11-3031.00	Primary-Short	5
11-1011.00	11-9199.02	Primary-Long	6
11-1011.00	11-2032.00	Primary-Long	7
11-1011.00	11-9033.00	Primary-Long	8
11-1011.00	11-1031.00	Primary-Long	9
11-1011.00	11-1011.03	Primary-Long	10
11-1011.00	13-1111.00	Supplemental	11
11-1011.00	11-3012.00	Supplemental	12
11-1011.00	43-1011.00	Supplemental	13
11-1011.00	43-6011.00	Supplemental	14
11-1011.00	13-1075.00	Supplemental	15
11-1011.00	11-2033.00	Supplemental	16
11-1011.00	41-1012.00	Supplemental	17
11-1011.00	13-2061.00	Supplemental	18
11-1011.00	13-1141.00	Supplemental	19
11-1011.00	39-1014.00	Supplemental	20
11-1011.03	13-1199.05	Primary-Short	1
11-1011.03	19-2041.01	Primary-Short	2
11-1011.03	19-2041.00	Primary-Short	3
11-1011.03	19-2041.03	Primary-Short	4
11-1011.03	11-9199.10	Primary-Short	5
11-1011.03	19-3051.00	Primary-Long	6
11-1011.03	11-9199.11	Primary-Long	7
11-1011.03	19-2041.02	Primary-Long	8
11-1011.03	19-1031.00	Primary-Long	9
11-1011.03	11-1011.00	Primary-Long	10
11-1011.03	13-1082.00	Supplemental	11
11-1011.03	13-1111.00	Supplemental	12
11-1011.03	11-9199.02	Supplemental	13
11-1011.03	17-2081.00	Supplemental	14
11-1011.03	15-1299.09	Supplemental	15
11-1011.03	19-3011.01	Supplemental	16
11-1011.03	11-9121.02	Supplemental	17
11-1011.03	11-9041.01	Supplemental	18
11-1011.03	19-1031.02	Supplemental	19
11-1011.03	13-1199.04	Supplemental	20
11-1021.00	11-1011.00	Primary-Short	1
11-1021.00	11-3013.00	Primary-Short	2
11-1021.00	41-1012.00	Primary-Short	3
11-1021.00	11-3012.00	Primary-Short	4
11-1021.00	11-3071.00	Primary-Short	5
11-1021.00	11-3051.00	Primary-Long	6
11-1021.00	13-1082.00	Primary-Long	7
11-1021.00	11-9021.00	Primary-Long	8
11-1021.00	15-1299.09	Primary-Long	9
11-1021.00	11-2022.00	Primary-Long	10
11-1021.00	39-1014.00	Supplemental	11
11-1021.00	43-1011.00	Supplemental	12
11-1021.00	49-1011.00	Supplemental	13
11-1021.00	51-1011.00	Supplemental	14
11-1021.00	53-1042.00	Supplemental	15
11-1021.00	53-1043.00	Supplemental	16
11-1021.00	37-1011.00	Supplemental	17
11-1021.00	47-1011.00	Supplemental	18
11-1021.00	13-1111.00	Supplemental	19
11-1021.00	53-1042.01	Supplemental	20
11-1031.00	11-1011.00	Primary-Short	1
11-1031.00	19-3094.00	Primary-Short	2
11-1031.00	23-1012.00	Primary-Short	3
11-1031.00	11-3031.01	Primary-Short	4
11-1031.00	27-3031.00	Primary-Short	5
11-1031.00	23-1011.00	Primary-Long	6
11-1031.00	11-9033.00	Primary-Long	7
11-1031.00	13-1075.00	Primary-Long	8
11-1031.00	23-1021.00	Primary-Long	9
11-1031.00	13-1041.03	Primary-Long	10
11-1031.00	43-6011.00	Supplemental	11
11-1031.00	11-9151.00	Supplemental	12
11-1031.00	21-1093.00	Supplemental	13
11-1031.00	21-2021.00	Supplemental	14
11-1031.00	29-2099.08	Supplemental	15
11-1031.00	11-9032.00	Supplemental	16
11-1031.00	23-1022.00	Supplemental	17
11-1031.00	25-1065.00	Supplemental	18
11-1031.00	11-1021.00	Supplemental	19
11-1031.00	43-4031.00	Supplemental	20
11-2011.00	41-3011.00	Primary-Short	1
11-2011.00	11-2021.00	Primary-Short	2
11-2011.00	13-1161.00	Primary-Short	3
11-2011.00	13-1161.01	Primary-Short	4
11-2011.00	11-2022.00	Primary-Short	5
11-2011.00	11-2032.00	Primary-Long	6
11-2011.00	27-3031.00	Primary-Long	7
11-2011.00	11-2033.00	Primary-Long	8
11-2011.00	13-1199.06	Primary-Long	9
11-2011.00	13-1131.00	Primary-Long	10
11-2011.00	41-3091.00	Supplemental	11
11-2011.00	27-3043.00	Supplemental	12
11-2011.00	15-2051.01	Supplemental	13
11-2011.00	13-1011.00	Supplemental	14
11-2011.00	13-1111.00	Supplemental	15
11-2011.00	27-1026.00	Supplemental	16
11-2011.00	11-3061.00	Supplemental	17
11-2011.00	41-9041.00	Supplemental	18
11-2011.00	15-1299.01	Supplemental	19
11-2011.00	27-1011.00	Supplemental	20
11-2021.00	13-1161.00	Primary-Short	1
11-2021.00	11-2022.00	Primary-Short	2
11-2021.00	11-2011.00	Primary-Short	3
11-2021.00	13-1161.01	Primary-Short	4
11-2021.00	15-2051.01	Primary-Short	5
11-2021.00	41-3011.00	Primary-Long	6
11-2021.00	11-2032.00	Primary-Long	7
11-2021.00	13-1199.06	Primary-Long	8
11-2021.00	11-3061.00	Primary-Long	9
11-2021.00	27-3031.00	Primary-Long	10
