"Label (Grouping)","Total:!!Agriculture, forestry, fishing and hunting, and mining","Total:!!Construction","Total:!!Manufacturing","Total:!!Wholesale trade","Total:!!Retail trade","Total:!!Transportation and warehousing, and utilities","Total:!!Information","Total:!!Finance and insurance, and real estate and rental and leasing","Total:!!Professional, scientific, and management, and administrative and waste management services","Total:!!Educational services, and health care and social assistance","Total:!!Arts, entertainment, and recreation, and accommodation and food services","Total:!!Other services, except public administration","Total:!!Public administration"
"Abilene, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","1,691","4,957","5,156","1,903","11,474","3,746","941","5,932","5,384","22,486","6,608","5,388","3,542"
"Aguadilla, PR Metro Area","","","","","","","","","","","","",""
"    Estimate","422","6,548","8,934","1,060","9,421","2,760","532","3,463","12,477","16,869","11,126","4,833","7,920"
"Akron, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","2,322","19,961","52,604","10,215","42,817","16,241","4,156","24,641","39,722","85,958","32,948","16,528","10,901"
"Albany, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,224","4,233","6,586","1,125","6,788","3,922","514","3,312","5,577","15,612","3,393","2,611","5,111"
"Albany, OR Metro Area","","","","","","","","","","","","",""
"    Estimate","1,199","3,886","6,526","1,428","9,976","2,835","342","3,312","5,389","15,179","3,377","4,293","3,619"
"Albany-Schenectady-Troy, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","1,696","23,224","37,732","9,385","43,379","21,305","8,955","33,376","54,298","120,574","34,231","21,676","47,382"
"Albuquerque, NM Metro Area","","","","","","","","","","","","",""
"    Estimate","5,284","30,585","24,674","7,262","45,279","18,939","7,738","23,976","70,349","115,275","42,852","22,912","26,621"
"Alexandria, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,471","3,491","4,328","1,895","6,548","3,392","442","2,716","5,197","18,216","5,519","2,647","4,162"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","","","","","","","","","","","","",""
"    Estimate","2,746","28,649","61,371","10,067","47,698","34,698","7,380","20,016","53,724","110,069","30,870","15,262","13,082"
"Altoona, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","624","3,638","4,633","1,557","9,065","4,318","670","2,332","4,262","15,319","4,335","3,114","2,163"
"Amarillo, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","2,664","11,192","12,892","3,526","18,407","12,095","2,042","8,348","9,675","27,275","14,516","7,376","6,408"
"Ames, IA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,510","3,314","6,124","1,719","7,433","2,750","842","2,625","6,017","24,335","4,736","1,970","2,898"
"Amherst Town-Northampton, MA Metro Area","","","","","","","","","","","","",""
"    Estimate","474","3,921","6,398","1,214","8,687","3,035","1,477","3,140","8,228","32,347","8,926","4,828","2,920"
"Anchorage, AK Metro Area","","","","","","","","","","","","",""
"    Estimate","7,655","14,669","5,763","3,414","22,356","15,963","3,922","5,812","20,229","50,356","17,074","8,316","20,212"
"Ann Arbor, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","680","5,775","24,233","1,865","16,648","6,239","3,107","7,294","24,408","68,780","17,814","7,313","4,537"
"Anniston-Oxford, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","334","2,000","10,208","856","6,015","2,282","901","2,025","3,631","13,884","3,311","2,065","1,958"
"Appleton, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","2,326","9,755","31,241","4,257","11,573","7,480","1,774","8,129","10,665","27,606","8,641","5,120","3,413"
"Arecibo, PR Metro Area","","","","","","","","","","","","",""
"    Estimate","598","4,214","8,350","544","7,204","1,995","1,011","3,034","4,450","13,684","5,703","3,225","5,634"
"Asheville, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","1,697","15,531","20,524","3,543","19,560","7,033","1,941","8,935","23,966","50,830","27,810","8,034","7,387"
"Athens-Clarke County, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,450","5,021","8,289","2,706","11,266","6,891","1,386","6,312","13,121","31,884","11,148","5,777","5,574"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","11,614","230,106","256,402","76,980","357,119","246,190","89,923","236,683","534,641","653,513","282,956","162,997","131,648"
"Atlantic City-Hammonton, NJ Metro Area","","","","","","","","","","","","",""
"    Estimate","1,259","10,985","8,581","2,285","15,811","7,403","1,914","10,755","16,768","47,041","38,215","7,758","10,900"
"Auburn-Opelika, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","603","5,274","11,339","2,451","9,237","4,694","978","5,148","10,746","25,183","8,974","4,142","4,553"
"Augusta-Richmond County, GA-SC Metro Area","","","","","","","","","","","","",""
