area_title,state_code,aii,total_employment,gini,entropy,delta_creative_class,delta_total_emp
"Dalton, GA",GA,0.12767663109064892,54430,0.44,2.199657988292678,3430,2070
"California-Lexington Park, MD",MD,0.11929818746396231,37310,0.4102,,,
"Columbus, IN",IN,0.10884166773372835,36910,0.4378,2.1303364638895625,-60,3580
"Rochester, MN",MN,0.10526867080765552,94910,0.4462,1.9540943258952324,27340,16590
"Huntsville, AL",AL,0.1041904447058437,203490,0.462,2.2147574216280743,21520,35690
"Bloomsburg-Berwick, PA",PA,0.09805431378360255,29880,0.4624,,,
"Winchester, VA-WV",VA,0.09471352769102512,49890,0.4275,2.3047518171213977,4790,11020
"Dayton, OH",OH,0.09463867719044959,316780,,,14290,-4270
"San Jose-Sunnyvale-Santa Clara, CA",CA,0.09445416236895224,884740,0.4743,2.206745943883019,148020,224380
"Charleston, WV",WV,0.09381371302511306,83300,0.4871,2.2398963553726126,-3830,-44210
"Rockford, IL",IL,0.09344700811562053,116790,0.4493,2.2257505989881774,2780,-3120
"Detroit-Warren-Dearborn, MI",MI,0.09280474793870198,1626430,0.4726,2.2341145044350883,77900,99170
"Stockton-Lodi, CA",CA,0.09258728101526266,217960,,2.3740016679150653,17990,80210
"Muskegon, MI",MI,0.09256425420248918,49000,0.4367,,1190,4060
"Kankakee, IL",IL,0.09105291579097434,33050,0.437,2.2329960341661783,3010,2400
"Chambersburg-Waynesboro, PA",PA,0.09080889274851293,48250,0.421,,,
"Ann Arbor, MI",MI,0.0906880457585715,183590,0.489,2.027330415188522,16290,17440
"Cleveland-Elyria, OH",OH,0.09066487071217363,881390,0.484,,35860,-6780
"Augusta-Richmond County, GA-SC",GA,0.09060333082390515,194520,0.4665,2.289604963397883,10040,25050
"Riverside-San Bernardino-Ontario, CA",CA,0.09054588040684163,1413330,0.4444,2.3260676869469408,100960,472130
"Anniston-Oxford-Jacksonville, AL",AL,0.090333382356531,34800,,,1180,-600
"Grand Rapids-Wyoming, MI",MI,0.09018959040852419,480990,,,56730,164720
"Boulder, CO",CO,0.09010816414048792,158240,0.4881,2.1691500052848585,25430,32400
"Palm Bay-Melbourne-Titusville, FL",FL,0.09005727313199643,200090,0.4517,2.2836318908083313,20680,37650
"York-Hanover, PA",PA,0.09001227727191193,153920,0.4168,2.3213551482136907,6850,3530
"Iowa City, IA",IA,0.0899806918732522,73020,0.4846,2.0598673806649996,7920,5740
"Harrisburg-Carlisle, PA",PA,0.08997811722905433,277330,0.4398,2.303670694833423,10330,12050
"Gainesville, FL",FL,0.08996839851080371,110520,0.5139,2.0785753808554808,6670,18380
"Allentown-Bethlehem-Easton, PA-NJ",PA,0.08993205016643417,314370,0.4489,2.2443742228222563,9740,23940
"Wichita, KS",KS,0.08988816187158036,257540,0.4511,2.2808072760459277,11980,15880
"Bakersfield, CA",CA,0.08971582398790219,279110,0.4695,,15620,50300
"Battle Creek, MI",MI,0.08962453879223088,37580,0.4438,2.1776336972362382,3520,-2450
"Milwaukee-Waukesha-West Allis, WI",WI,0.08957848268610565,689840,,,16000,-4280
"Spartanburg, SC",SC,0.0892664522762536,128190,0.4505,2.216817013317734,11400,41270
"Birmingham-Hoover, AL",AL,0.08917749887226892,450150,0.4839,,22300,15020
"Lima, OH",OH,0.08908654409262359,38820,0.4294,2.1812211997098077,2510,1390
"Owensboro, KY",KY,0.08905177663713626,39770,0.4517,2.200710851034414,2460,990
"Scranton--Wilkes-Barre--Hazleton, PA",PA,0.08904342579972074,212350,,,5710,-4030
"Savannah, GA",GA,0.08902403349469386,158430,0.4636,2.312415150311001,14080,37270
"Jackson, TN",TN,0.08900107310559505,54650,0.4579,2.264787361194539,3130,9940
"Fort Wayne, IN",IN,0.08895759760344389,187500,0.4443,2.2344917667099864,8000,18460
"Warner Robins, GA",GA,0.08855791097530935,59580,0.4236,2.308947817002838,7500,19820
